District,Enrollment,PPE,AVPP,LogPPE,LogAVPP,LogEnrollment
Syracuse,555,6999.24,87024,8.8535568507,11.373939222,6.3189681137
Ft. Larned,1046,6331.92,35626,8.7533587867,10.480830987,6.9527286446
Pawnee Heights,168,8908.58,58072,9.0947701363,10.969438899,5.1239639794
Lawrence,10459,5361.33,63667,8.5869673576,11.061421654,9.2552181308
Valley Heights,488,6758.68,28040,8.8185828837,10.241387341,6.1903154059
Galena,817,6067.2,13290,8.7106524926,9.4947671517,6.7056390949
Kansas City,21173,5534.48,28214,8.6187528931,10.247573588,9.9604820641
Topeka,14098,5401.49,40170,8.5944301204,10.600875727,9.5537882223
Lewis,187,7617.14,73444,8.9381562501,11.20427849,5.2311086169
Parsons,1719,5317.91,26473,8.578835648,10.183880625,7.4494980054
Oswego,533,6585.58,23222,8.7926376893,10.052855384,6.2785214242
Chetopa,282,7544.66,22400,8.9285953072,10.016816238,5.6419070709
Labette County,1793,5385.38,21801,8.5914431535,9.9897111193,7.4916454736
Satanta,444,7261.74,204934,8.8903747485,12.230443255,6.0958245624
Baxter Springs,910,5919.75,25291,8.6860494973,10.13820388,6.8134445995
South Haven,274,6775.09,23512,8.8210079298,10.065266208,5.6131281064
Attica,135,9187.01,62942,9.1255458088,11.049968946,4.9052747784
Shawnee Mission,30765,5282.38,84785,8.5721320327,11.347873919,10.334132959
